source_family,period,title,source_url,index_url,index_page
nbs_cpi,2021-08,2021年8月份居民消费价格同比上涨0.8%环比上涨0.1%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901211.html,https://www.stats.gov.cn/sj/zxfb/index_66.html,67
nbs_cpi,2021-09,2021年9月份居民消费价格同比上涨0.7%环比持平,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901237.html,https://www.stats.gov.cn/sj/zxfb/index_65.html,66
nbs_cpi,2021-10,2021年10月份居民消费价格同比上涨1.5%环比上涨0.7%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901272.html,https://www.stats.gov.cn/sj/zxfb/index_63.html,64
nbs_cpi,2021-11,2021年11月份居民消费价格同比上涨2.3%环比上涨0.4%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901296.html,https://www.stats.gov.cn/sj/zxfb/index_62.html,63
nbs_cpi,2021-12,2021年12月份居民消费价格同比上涨1.5%环比下降0.3%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901328.html,https://www.stats.gov.cn/sj/zxfb/index_61.html,62
nbs_cpi,2022-01,2022年1月份居民消费价格同比上涨0.9%环比上涨0.4%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901367.html,https://www.stats.gov.cn/sj/zxfb/index_60.html,61
nbs_cpi,2022-02,2022年2月份居民消费价格同比上涨0.9%环比上涨0.6%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901398.html,https://www.stats.gov.cn/sj/zxfb/index_59.html,60
nbs_cpi,2022-03,2022年3月份居民消费价格同比上涨1.5%环比持平,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901421.html,https://www.stats.gov.cn/sj/zxfb/index_58.html,59
nbs_cpi,2022-04,2022年4月份居民消费价格同比上涨2.1%环比上涨0.4%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901456.html,https://www.stats.gov.cn/sj/zxfb/index_57.html,58
nbs_cpi,2022-05,2022年5月份居民消费价格同比上涨2.1%环比下降0.2%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901482.html,https://www.stats.gov.cn/sj/zxfb/index_56.html,57
